U_ID,Name,GradeLevel_id,Subject_id,StartDate,EndDate,enabled
1486,Christmas Mural,2,1,2013-12-10,2013-12-17,1
1643,Lines: Harold and the Purple Crayon,2,1,2013-09-17,2013-10-01,1
1666,The Use of Materials,2,1,2013-09-16,2014-06-06,1
1669,Birds,2,1,2014-01-10,2014-04-11,1
1106,Using Passions to Engage in Books,2,3,2012-10-01,2012-11-30,1
1442,Nursery Rhymes and Poems,2,3,2013-09-30,2014-05-30,1
1553,Letter/Sound/Words,2,3,2013-09-23,2013-05-30,1
1584,Rhyming,2,4,2013-10-14,2014-06-01,1
1585,Self Regulation,2,4,2013-09-23,2013-05-30,1
1342,Autumn,2,5,2013-09-20,2013-11-22,1
1528,Shapes and Colors,2,5,2013-09-09,2013-09-30,1
1113,Measurement,2,6,2013-09-30,2014-05-30,1
1413,Calendar,2,6,2013-09-12,2014-06-03,1
1583,Sorting,2,6,2012-10-15,2014-06-01,1
1602,Plane Shapes,2,6,2013-09-30,2014-05-30,1
1218,Gross Motor,2,8,2013-09-05,2013-09-27,1
1221,Christmas Games,2,8,2013-12-02,2013-12-20,1
1628,Lent,2,9,2014-03-05,2014-04-20,1
1028,Plants,2,10,2012-04-09,2012-04-20,1
1030,Birds,2,10,2011-12-01,2012-06-01,1
1102,Our Solar System,2,10,2012-05-21,2012-06-01,1
1373,Magnets,2,10,2014-01-13,2014-01-17,1
1384,Polar Pals,2,10,2012-01-20,2012-01-30,1
1556,bugs,2,10,2013-04-29,2013-05-14,1
1605,Five Senses,2,10,2013-12-09,2014-04-18,1
1408,Presidents,2,11,2013-02-16,2013-02-22,1
1440,All About Me,2,11,2013-09-09,2013-09-23,1
1441,School Rules and Class Routines,2,11,2013-09-03,2013-06-04,1
1466,Family,2,11,2013-11-04,2013-11-30,1
1500,Christmas/Winter Holidays Dec.,2,11,2013-12-02,2013-12-20,1
1601,Christopher Columbus,2,11,2013-10-07,2013-10-14,1
1615,Community Helpers,2,11,2013-03-04,2013-03-15,1
1345,Getting to know my teacher and a new environment.,2,12,2013-09-10,2013-10-18,1
1367,Los números y los colores,2,12,2013-10-23,2013-12-13,1
1385,My body. My age.,2,12,2014-01-06,2014-03-28,1
1402,My basic family and my pets,2,12,2014-04-01,2014-06-10,1
1062,Thinking and Working as Artists: Discovering Materials,3,1,2011-09-08,2012-09-14,1
1103,Dinosaurs,3,1,2013-02-18,2013-03-08,1
1457,Dinosaurs,3,1,2013-09-01,2014-06-01,1
1463,Illustration: Where the Wild Things Are,3,1,2013-10-15,2013-11-22,1
1629,Three Dimension ,3,1,2013-09-23,2013-09-30,1
1644,Marshmallow Sculpture,3,1,2013-10-15,2013-10-29,1
1646,Art Materials,3,1,2013-09-17,2013-11-15,1
1667,Working as Artists,3,1,2013-09-16,2014-06-09,1
1668,Clay,3,1,2014-04-07,2014-05-05,1
1340,Writing: Becoming a Community of Writers,3,3,2013-09-01,2013-10-11,1
1347,writing: Once Upon a Time/Fiction,3,3,2013-12-02,2014-01-31,1
1349,Writing: Nonfiction ,3,3,2014-02-03,2014-03-14,1
1364,Library: Who Am I?,3,3,2013-09-09,2013-10-31,1
1372,Library: Book Care Rules,3,3,2013-09-16,2013-09-20,1
1374,Writing: Poetry,3,3,2014-04-01,2014-05-09,1
1409,Reading: Building a Community of Readers,3,3,2013-09-10,2013-11-22,1
1429,Library: Classroom Rules,3,3,2013-09-09,2013-09-20,1
1480,Reading: Once Upon a Time,3,3,2013-12-02,2013-12-20,1
1487,Reading: Nonfiction,3,3,2014-02-03,2014-03-14,1
1488,Reading: Author study,3,3,2014-01-06,2014-01-31,1
1512,Reading: Poetry,3,3,2014-03-31,2014-05-02,1
1606,Spelling,3,3,2013-09-09,2014-06-06,1
1481,Math: Once upon a Time,3,6,2013-12-02,2013-12-20,1
1235,Cooperative Learning,3,8,2013-09-05,2013-09-27,1
1033,Dinosaurs,3,10,2014-01-27,2014-03-02,1
1036,Trees,3,10,2011-09-14,2012-06-01,1
1509,Weather,3,10,2013-09-04,2014-05-30,1
1511,Growth,3,10,2014-04-30,2014-06-06,1
1034,Australia,3,11,2014-03-31,2012-04-27,1
1390,Maps,3,11,2014-03-03,2014-03-14,1
1505,Getting to Know you,3,11,2013-09-04,2013-10-07,1
1506,Family Holiday Traditions,3,11,2013-11-11,2013-12-20,1
